%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 513580727, time taken: 3 microseconds
[Randmoised Selection] - Median: 513580727, time taken: 6 microseconds
[Median of Medians] - Median: 513580727, time taken: 5 microseconds
--------------------------------------[Arrays of size 50]--------------------------------------
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 535303484, time taken: 10 microseconds
[Randmoised Selection] - Median: 535303484, time taken: 10 microseconds
[Median of Medians] - Median: 535303484, time taken: 25 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 382205492, time taken: 11 microseconds
[Randmoised Selection] - Median: 382205492, time taken: 7 microseconds
[Median of Medians] - Median: 382205492, time taken: 13 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 608709523, time taken: 9 microseconds
[Randmoised Selection] - Median: 608709523, time taken: 15 microseconds
[Median of Medians] - Median: 608709523, time taken: 14 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 513826595, time taken: 35 microseconds
[Randmoised Selection] - Median: 513826595, time taken: 8 microseconds
[Median of Medians] - Median: 513826595, time taken: 16 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 435324872, time taken: 56 microseconds
[Randmoised Selection] - Median: 435324872, time taken: 15 microseconds
[Median of Medians] - Median: 435324872, time taken: 15 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 516902743, time taken: 4 microseconds
[Randmoised Selection] - Median: 516902743, time taken: 15 microseconds
[Median of Medians] - Median: 516902743, time taken: 32 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 568496819, time taken: 4 microseconds
[Randmoised Selection] - Median: 568496819, time taken: 43 microseconds
[Median of Medians] - Median: 568496819, time taken: 82 microseconds
